source_id_2mass,_2MASS_2mass,RAJ2000_2mass,DEJ2000_2mass,Jmag_2mass,e_Jmag_2mass,Hmag_2mass,e_Hmag_2mass,Kmag_2mass,e_Kmag_2mass,Source_gaia,_q,cp_flag_2mass
5338658092830907008,11054208-5850203,166.425369,-58.838985,15.184,0.135,14.659,0.118,14.483,0.126,5338658092830907008,104,0
5338658161546304256,11053571-5849079,166.398801,-58.818874,12.651,0.029,12.225,0.029,12.131,0.032,5338658161546304256,97,0
5338658406410623872,11055915-5848034,166.496491,-58.800961,14.856,0.065,14.229,0.074,13.915,0.073,5338658406410623872,123,0
5338658436446157824,11055204-5847395,166.466835,-58.794312,11.921,0.023,11.256,0.022,11.055,0.024,5338658436446157824,114,0
5338658440770347776,11055311-5848036,166.471311,-58.801018,14.703,0.061,14.158,0.082,13.691,,5338658440770347776,117,0
5338658642604589184,11054608-5847242,166.442026,-58.79007,14.669,0.05,14.1,0.098,13.792,0.075,5338658642604589184,110,0
5338658681288546560,11055160-5846526,166.465023,-58.781281,11.419,0.022,11.175,0.022,11.16,0.023,5338658681288546560,112,0
5338658750008034688,11054267-5845411,166.427828,-58.76144,13.97,0.058,13.365,0.065,13.216,0.06,5338658750008034688,105,0
5338661189549342976,11052075-5847577,166.336476,-58.799381,12.738,0.026,12.244,0.023,12.12,0.019,5338661189549342976,77,-4
5338661253927043456,11052976-5847207,166.374005,-58.789097,15.541,0.105,14.881,0.119,14.779,0.13,5338661253927043456,93,0
5338661288286781312,11052928-5846297,166.372026,-58.77494,14.929,0.1,14.113,0.047,13.892,0.073,5338661288286781312,90,0
5338661395677860096,11051518-5847455,166.313275,-58.795982,16.16,0.132,15.441,0.147,15.028,,5338661395677860096,67,0
5338661498787340416,11050723-5845434,166.280157,-58.762062,14.208,0.044,13.462,0.044,13.331,0.044,5338661498787340416,56,0
5338661533146770304,11051849-5846153,166.327058,-58.770943,9.477,0.032,9.305,0.071,9.193,0.036,5338661533146770304,74,0
5338661567476891904,11052185-5845287,166.341064,-58.757999,15.17,0.064,14.458,0.063,14.267,0.085,5338661567476891904,78,-8
5338661567478218624,11051692-5845073,166.320503,-58.752041,16.386,,15.634,0.15,15.509,,5338661567478218624,71,0
5338661631880131712,11051106-5844476,166.296116,-58.746571,13.769,0.042,13.069,0.041,12.929,0.045,5338661631880131712,61,0
5338661636226321408,11051342-5845035,166.305932,-58.750984,14.896,0.042,14.191,0.051,14.102,0.07,5338661636226321408,63,0
5338661666237468032,11053591-5846098,166.399649,-58.769413,8.741,0.034,8.74,0.055,8.693,0.021,5338661666237468032,99,0
5338661670585774208,11053557-5845475,166.398244,-58.763199,14.749,0.033,14.141,0.022,13.899,0.05,5338661670585774208,96,0
5338661808024777856,11053289-5843498,166.387059,-58.730522,8.804,0.026,8.817,0.049,8.774,0.019,5338661808024777856,94,0
5338661945464004480,11052238-5844358,166.343275,-58.743298,10.803,0.03,10.572,0.042,10.548,0.055,5338661945464004480,79,0
5338662112918757504,11052643-5842297,166.360137,-58.70826,15.737,0.075,15.096,0.091,14.838,0.115,5338662112918757504,86,-8
5338662147297759616,11051251-5842179,166.302146,-58.704975,14.102,0.022,13.41,0.023,13.259,0.026,5338662147297759616,62,0
5338662323421039104,11045856-5844507,166.24402,-58.747425,11.881,0.026,11.586,0.026,11.518,0.021,5338662323421039104,51,0
5338662357780802048,11050630-5844418,166.276253,-58.744957,12.404,0.033,12.075,0.033,11.986,0.027,5338662357780802048,54,0
5338662426500250112,11045457-5843122,166.227379,-58.720062,12.526,0.056,12.029,0.033,11.979,0.034,5338662426500250112,44,0
5338662800111348992,11050638-5842095,166.276616,-58.702648,11.93,0.022,11.583,0.023,11.493,0.019,5338662800111348992,55,0
5338634457670497024,11072770-5904525,166.865431,-59.081264,11.455,0.028,10.852,0.027,10.74,0.026,5338634457670497024,132,-8
5338649507237473792,11051484-5859095,166.311871,-58.985989,11.558,0.023,11.286,0.022,11.226,0.019,5338649507237473792,66,0
5338649850834930816,11052542-5858076,166.355934,-58.968788,14.106,0.029,13.601,0.039,13.387,0.038,5338649850834930816,84,0
5338649885194690304,11052733-5857370,166.363913,-58.960278,14.087,0.053,13.426,0.051,13.253,0.049,5338649885194690304,88,0
5338649953914163584,11052269-5857185,166.344552,-58.955154,14.066,0.033,13.286,0.026,12.972,0.029,5338649953914163584,80,-4
5338649983932411392,11052962-5857187,166.373448,-58.9552,15.992,0.105,15.429,0.127,15.066,0.151,5338649983932411392,92,0
5338651053425997184,11055811-5854229,166.492133,-58.906372,14.4,0.05,13.977,0.056,13.802,0.057,5338651053425997184,122,0
5338700836339224192,11041485-5853053,166.061914,-58.884823,11.48,0.023,11.179,0.026,11.092,0.021,5338700836339224192,2,0
5338651392675718528,11055220-5855347,166.467532,-58.926311,11.062,0.026,10.808,0.024,10.73,0.019,5338651392675718528,116,0
5338651431383048576,11053844-5854463,166.410207,-58.912872,13.567,0.043,12.947,0.051,12.698,0.042,5338651431383048576,101,0
5338651706230654080,11052912-5854071,166.37136,-58.901981,15.483,0.083,15.006,0.11,14.6,0.108,5338651706230654080,91,-8
5338651774980489216,11055330-5854224,166.472114,-58.906239,13.621,0.037,12.949,0.035,12.762,0.036,5338651774980489216,119,0
5338651878028314496,11054564-5852454,166.440174,-58.879288,14.309,0.067,13.54,0.073,13.418,0.069,5338651878028314496,109,0
5338651878059715072,11054394-5853093,166.433109,-58.885918,13.465,0.033,12.804,0.031,12.651,0.032,5338651878059715072,108,0
5338652084218154112,11053580-5852123,166.399188,-58.870094,11.108,0.023,10.876,0.022,10.816,0.021,5338652084218154112,98,-4
5338652217315646464,11054337-5850536,166.430711,-58.848228,13.541,0.035,12.842,0.039,12.736,0.038,5338652217315646464,106,-4
5338652221625848576,11054092-5851141,166.42052,-58.85392,14.652,0.082,13.815,,13.636,,5338652221625848576,103,0
5338652256016873472,11053328-5851061,166.388673,-58.851711,11.225,0.026,11.039,0.027,11.045,0.029,5338652256016873472,95,0
5338702386868676736,11035561-5847538,165.981744,-58.798286,10.019,0.026,9.849,0.029,9.832,0.027,5338702386868676736,1,0
5338652457833563648,11050841-5858225,166.285059,-58.972942,15.228,0.061,14.601,0.073,14.401,0.097,5338652457833563648,59,0
5338702902264853248,11042438-5848353,166.10161,-58.809807,12.188,0.037,11.893,0.041,11.802,0.039,5338702902264853248,8,0
5338703005344054400,11041861-5847283,166.077547,-58.791218,13.296,0.029,12.79,0.035,12.645,0.03,5338703005344054400,4,0
5338652840132134656,11045005-5855591,166.20856,-58.933102,10.794,0.024,10.555,0.024,10.436,0.021,5338652840132134656,39,0
5338652840132523136,11045007-5855488,166.208649,-58.930225,15.677,0.313,15.172,0.163,13.075,,5338652840132523136,38,0
5338653011930897664,11051642-5856116,166.318418,-58.936565,14.39,0.054,13.844,0.051,13.572,0.048,5338653011930897664,70,0
5338703314581802624,11041513-5845457,166.063076,-58.762695,13.639,0.026,12.993,0.023,12.823,0.019,5338703314581802624,3,0
5338653114978274944,11051348-5854264,166.306185,-58.907356,14.719,0.056,14.518,0.076,14.055,0.078,5338653114978274944,64,0
5338653213766559488,11045541-5855169,166.230913,-58.921364,16.163,0.108,15.247,0.106,14.758,0.122,5338653213766559488,46,0
5338653218089288704,11045578-5855341,166.232439,-58.926151,10.312,0.027,10.157,0.024,10.105,0.021,5338653218089288704,47,0
5338703623819396864,11043289-5844046,166.13705,-58.734612,13.812,0.036,13.193,0.04,12.935,0.042,5338703623819396864,15,0
5338653454260022784,11044121-5856473,166.171731,-58.946484,11.322,0.024,10.95,0.024,10.917,0.021,5338653454260022784,28,0
5338653523004227584,11043769-5855397,166.157074,-58.927696,14.699,0.436,10.956,,10.13,,5338653523004227584,22,0
5338653527294506240,11043943-5855506,166.16431,-58.930737,15.094,0.064,14.361,0.068,14.03,0.068,5338653527294506240,24,0
5338653836564519936,11043175-5855013,166.132307,-58.917053,13.686,0.046,13.1,0.052,12.975,0.029,5338653836564519936,14,0
5338653969656093056,11044364-5854259,166.181856,-58.907215,9.436,0.027,8.75,0.031,8.584,0.023,5338653969656093056,32,0
5338654038380060416,11044280-5854113,166.178336,-58.90316,15.461,0.11,14.845,0.171,14.641,0.162,5338654038380060416,31,0
5338654347619391232,11042508-5851000,166.104509,-58.850014,16.06,0.094,15.848,0.177,15.157,0.182,5338654347619391232,9,0
5338654351960981504,11043023-5851469,166.125979,-58.863049,9.589,0.023,9.562,0.027,9.453,0.019,5338654351960981504,12,0
5338654416338873088,11043363-5850346,166.140143,-58.842953,15.227,0.082,14.67,0.071,14.538,0.112,5338654416338873088,16,0
5338654832965448832,11050770-5852097,166.282092,-58.869381,14.935,0.038,14.54,0.062,14.477,0.085,5338654832965448832,57,-8
5338655039155633920,11050076-5849431,166.253173,-58.828644,14.411,0.05,13.672,0.04,13.509,0.045,5338655039155633920,53,0
5338655210954387328,11052380-5849494,166.349186,-58.830399,15.05,0.064,14.251,0.068,14.009,0.068,5338655210954387328,82,0
5338655245314145152,11052864-5849309,166.369354,-58.825256,11.673,0.024,11.298,0.022,11.226,0.021,5338655245314145152,89,0
5338655348361782400,11051040-5850295,166.293362,-58.841534,13.681,0.032,13.045,0.026,12.957,0.032,5338655348361782400,60,0
5338655382721666816,11051441-5849417,166.310043,-58.828251,14.922,0.042,14.206,0.049,14.019,0.054,5338655382721666816,65,0
5338655520192048512,11051519-5848320,166.313306,-58.808907,11.639,0.024,11.395,0.029,11.319,0.021,5338655520192048512,68,0
5338655584570203520,11050798-5847324,166.28327,-58.792343,15.962,0.103,14.961,,14.573,,5338655584570203520,58,0
5338655623271089536,11045191-5851475,166.216299,-58.86322,12.344,0.024,11.907,0.023,11.804,0.023,5338655623271089536,41,0
5338655722002740352,11044466-5849413,166.186122,-58.82814,11.373,0.027,11.124,0.024,11.066,0.023,5338655722002740352,34,0
5338655726354985344,11044483-5850087,166.186807,-58.835773,12.097,0.03,12.041,0.032,11.93,0.032,5338655726354985344,35,-8
5338655760678509056,11045636-5850145,166.234844,-58.837376,13.182,0.038,12.641,0.039,12.53,0.041,5338655760678509056,48,0
5338655790726793216,11045437-5849187,166.226576,-58.821865,15.346,0.057,14.767,0.084,14.503,0.079,5338655790726793216,43,0
5338655863789524736,11044844-5848333,166.201863,-58.809261,14.8,0.056,14.111,0.072,13.932,0.066,5338655863789524736,37,0
5338655928161170432,11043954-5849393,166.164787,-58.827606,11.408,0.026,11.182,0.023,11.088,0.023,5338655928161170432,25,0
5338655932508971520,11043868-5849297,166.161204,-58.824924,9.45,0.027,9.368,0.029,9.253,0.024,5338655932508971520,23,0
5338655932508975744,11044009-5849214,166.167047,-58.822613,11.075,0.026,10.904,0.023,10.836,0.019,5338655932508975744,27,0
5338655966868690432,11043037-5849482,166.126556,-58.830063,14.388,0.039,13.771,0.037,13.598,0.044,5338655966868690432,13,0
5338656069947948928,11044535-5848060,166.188966,-58.801693,13.867,0.054,12.985,0.048,12.721,0.042,5338656069947948928,36,-8
5338656099962080896,11043559-5848251,166.148312,-58.806992,11.39,0.029,11.034,0.033,10.962,0.027,5338656099962080896,18,0
5338656138667402752,11043679-5847578,166.153298,-58.799389,12.284,0.029,11.965,0.036,11.851,0.03,5338656138667402752,21,0
5338656203039071744,11045802-5847421,166.241782,-58.795052,8.21,0.024,8.285,0.049,8.124,0.021,5338656203039071744,49,0
5338656310466146176,11045505-5847128,166.229392,-58.786903,12.329,0.03,11.977,0.03,11.894,0.032,5338656310466146176,45,0
5338656409199865472,11045086-5845439,166.211943,-58.762203,14.099,0.059,13.468,0.044,13.239,0.056,5338656409199865472,40,0
5338656443561844480,11044262-5847424,166.177622,-58.795132,15.687,0.084,15.035,0.1,15.181,0.15,5338656443561844480,30,0
5338656654063486464,11043596-5845209,166.149849,-58.755817,6.006,0.032,5.548,0.042,5.381,0.018,5338656654063486464,19,0
5338656825862575872,11061489-5852376,166.562077,-58.877132,15.146,0.061,14.593,0.07,14.472,0.092,5338656825862575872,129,0
5338657130758244864,11061070-5851543,166.544614,-58.865105,15.844,0.105,14.993,0.085,14.708,0.11,5338657130758244864,128,0
5338657238179472512,11060579-5850328,166.524131,-58.842472,13.844,0.023,13.14,0.022,12.974,0.03,5338657238179472512,127,0
5338657375618480384,11062242-5849516,166.593438,-58.831024,11.224,0.023,11.006,0.022,10.961,0.023,5338657375618480384,131,0
5338657886672480768,11055191-5851057,166.466311,-58.851585,14.001,0.044,13.289,0.042,13.2,0.043,5338657886672480768,113,0
5338657925374686080,11055210-5850333,166.467091,-58.842602,14.74,0.064,14.081,0.063,13.88,0.057,5338657925374686080,115,0
5338657959733969536,11060121-5850254,166.505048,-58.840412,11.27,0.05,11.071,0.027,11.043,0.027,5338657959733969536,125,0
5338658058464947200,11055492-5848595,166.478842,-58.816551,9.343,0.024,9.246,0.027,9.218,0.029,5338658058464947200,120,-4
