source_id_allwise,AllWISE_allwise,RAJ2000_allwise,DEJ2000_allwise,ra_error_allwise,dec_error_allwise,radec_co_error_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3mag_allwise,e_W3mag_allwise,W4mag_allwise,e_W4mag_allwise,cc_flags_allwise,ext_flag_allwise,var_flag_allwise,ph_qual_allwise,Source_gaia,_q,cp_flag_allwise
5338658436446157824,J110552.02-584739.4,166.4667732,-58.7943044,0.0373,0.0382,-0.0102,10.931,0.023,11.057,0.021,11.198,0.123,9.274,,hhd0,0,68nn,AABU,5338658436446157824,114,0
5338658681288546560,J110551.58-584652.6,166.4649516,-58.7812896,0.0391,0.0386,-0.0105,11.09,0.022,11.203,0.022,10.692,0.085,9.255,0.44,0h00,0,131n,AAAC,5338658681288546560,112,0
5338661189549342976,J110520.73-584757.6,166.3364047,-58.7993553,0.0408,0.0414,-0.0092,12.136,0.023,12.198,0.023,10.933,0.158,8.618,,ddhp,0,01nn,AABU,5338661189549342976,77,-4
5338661666237468032,J110535.89-584609.8,166.3995704,-58.7694075,0.0344,0.035,-0.0094,8.681,0.022,8.726,0.02,8.781,0.032,9.31,,0hop,0,000n,AAAU,5338661666237468032,99,0
5338661808024777856,J110532.86-584349.8,166.3869569,-58.7305002,0.0353,0.0352,-0.0102,8.733,0.022,8.748,0.019,8.517,0.044,7.753,0.168,hhOO,0,46nn,AAAB,5338661808024777856,94,0
5338662323421039104,J110458.56-584450.4,166.2440095,-58.7473463,0.0414,0.0419,-0.0099,11.377,0.024,11.436,0.022,11.867,,9.109,,ddh0,1,11nn,AAUU,5338662323421039104,51,0
5338662800111348992,J110506.37-584209.5,166.2765736,-58.7026543,0.0411,0.0418,-0.0104,11.497,0.024,11.565,0.022,11.695,,9.319,,0d0p,0,11nn,AAUU,5338662800111348992,55,0
5338634457670497024,J110727.74-590452.6,166.8656098,-59.0812994,0.0364,0.0361,-0.0094,10.545,0.022,10.592,0.02,9.988,0.044,8.451,0.207,0000,0,221n,AAAB,5338634457670497024,132,-8
5338649507237473792,J110514.85-585909.4,166.3119106,-58.9859528,0.0396,0.0398,-0.0096,11.079,0.023,11.167,0.022,10.83,0.158,9.025,0.372,0d00,1,011n,AABC,5338649507237473792,66,0
5338651053425997184,J110558.14-585423.3,166.4922672,-58.9064868,0.0779,0.0795,0.0158,13.716,0.038,14.159,0.049,12.991,,9.578,,0h00,1,10nn,AAUU,5338651053425997184,122,0
5338700836339224192,J110414.85-585305.4,166.061883,-58.8848447,0.0386,0.0422,-0.0087,11.032,0.024,11.092,0.022,10.264,0.293,8.488,0.529,0d00,1,nnnn,AABC,5338700836339224192,2,0
5338652221625848576,J110540.95-585113.6,166.4206552,-58.8537884,0.0475,0.048,0.0023,13.551,0.024,14.017,0.031,10.483,0.074,7.803,0.114,0h00,0,421n,AAAB,5338652221625848576,103,0
5338703005344054400,J110418.60-584728.2,166.0775033,-58.7911928,0.0538,0.0543,0.005,12.555,0.028,12.715,0.031,12.936,,9.367,,0000,0,00nn,AAUU,5338703005344054400,4,0
5338703314581802624,J110415.07-584545.8,166.0627983,-58.7627299,0.0576,0.0581,-0.0057,12.726,0.031,12.843,0.031,12.123,,9.393,,0h00,1,42nn,AAUU,5338703314581802624,3,0
5338653218089288704,J110455.77-585534.0,166.2324046,-58.9261155,0.0368,0.0369,-0.0084,9.996,0.022,10.103,0.02,10.424,0.272,8.909,,0ho0,0,330n,AABU,5338653218089288704,47,0
5338653454260022784,J110441.22-585647.1,166.1717635,-58.9464303,0.037,0.0376,-0.0105,10.82,0.023,10.882,0.02,12.837,,9.293,,hhh0,1,32nn,AAUU,5338653454260022784,28,0
5338653969656093056,J110443.66-585425.6,166.1819302,-58.9071241,0.0134,0.0148,0.0069,7.195,0.012,6.459,0.009,6.772,0.015,7.23,0.11,pp00,1,nnn0,AAAB,5338653969656093056,32,0
5338654351960981504,J110430.22-585146.9,166.1259514,-58.8630468,0.0368,0.037,-0.0102,9.445,0.023,9.482,0.02,9.798,0.121,9.346,,0ho0,0,110n,AABU,5338654351960981504,12,0
5338654832965448832,J110507.77-585209.2,166.2823802,-58.869245,0.1056,0.1012,0.0354,14.143,0.044,14.715,0.066,11.581,0.273,8.871,,hd00,0,20nn,AABU,5338654832965448832,57,-8
5338655210954387328,J110523.82-584949.6,166.3492542,-58.8304571,0.0925,0.0942,0.0206,13.943,0.047,13.884,0.043,11.942,,9.186,,0h00,0,21nn,AAUU,5338655210954387328,82,0
5338655245314145152,J110528.62-584930.9,166.3692875,-58.8252533,0.0384,0.0392,-0.0082,11.191,0.023,11.268,0.021,12.703,,9.399,,0h00,0,nnnn,AAUU,5338655245314145152,89,0
5338655382721666816,J110514.41-584941.6,166.310073,-58.8282287,0.0865,0.0857,0.019,13.974,0.041,14.142,0.048,10.982,0.128,8.654,0.278,P0o0,0,n10n,AABB,5338655382721666816,65,0
5338655520192048512,J110515.19-584831.9,166.3132924,-58.8088874,0.0378,0.0381,-0.0101,11.322,0.023,11.371,0.02,12.647,,9.299,,0hO0,0,11nn,AAUU,5338655520192048512,68,0
5338655623271089536,J110451.89-585147.4,166.21622,-58.8631816,0.0487,0.0479,-0.0065,11.751,0.026,11.82,0.027,11.892,,8.978,0.501,dd00,0,21nn,AAUC,5338655623271089536,41,0
5338655722002740352,J110444.66-584941.1,166.1860916,-58.8280908,0.0403,0.0405,-0.0078,11.032,0.023,11.085,0.022,10.173,0.093,8.341,0.213,0h00,0,000n,AAAB,5338655722002740352,34,0
5338655726354985344,J110444.84-585008.5,166.1868666,-58.8357017,0.0488,0.0501,-0.0056,11.888,0.028,11.931,0.026,9.972,0.074,7.788,0.121,0000,0,341n,AAAB,5338655726354985344,35,-8
5338655760678509056,J110456.37-585014.4,166.2349078,-58.837353,0.0574,0.062,-0.0293,12.293,0.032,12.253,0.032,11.65,,8.397,,0h00,0,nnnn,AAUU,5338655760678509056,48,0
5338655932508971520,J110438.68-584929.6,166.1611947,-58.8249009,0.0362,0.0368,-0.0089,9.23,0.022,9.264,0.02,9.552,0.058,9.59,,h000,1,100n,AAAU,5338655932508971520,23,0
5338656138667402752,J110436.81-584757.3,166.1534062,-58.7992545,0.0425,0.0428,-0.0079,11.628,0.024,11.722,0.023,11.002,,9.052,,0d0p,1,33nn,AAUU,5338656138667402752,21,0
5338656203039071744,J110457.99-584742.2,166.2416649,-58.7950746,0.0335,0.0338,-0.0083,8.136,0.023,8.15,0.019,8.091,0.025,7.463,0.102,0h00,1,1100,AAAA,5338656203039071744,49,0
5338656654063486464,J110435.99-584520.8,166.1499857,-58.755786,0.0414,0.0399,-0.0053,5.362,0.186,5.259,0.044,5.357,0.015,5.362,0.036,000p,1,1410,BAAA,5338656654063486464,19,0
5338657238179472512,J110605.78-585032.9,166.5240945,-58.8424757,0.049,0.0496,-0.009,12.924,0.026,13.049,0.027,11.936,,9.144,0.429,0hO0,0,54nn,AAUC,5338657238179472512,127,0
5338657375618480384,J110622.42-584951.5,166.593418,-58.8309869,0.0402,0.0402,-0.0096,10.954,0.024,11.008,0.022,11.066,0.108,9.526,,00d0,0,00nn,AAAU,5338657375618480384,131,0
5338658058464947200,J110554.98-584859.6,166.4791061,-58.816573,0.0407,0.0386,-0.0167,8.776,0.024,8.685,0.023,8.297,0.025,6.714,0.058,hhd0,1,9960,AAAA,5338658058464947200,120,-4
