name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J001826.4+300400,4.610041666666666,30.066713888888888,0.91,2.1,1.0962819038952774e-15,7.074500649077534e-16,3.585718096104722e-16,3.0965500148290812e-16,1.3141595769121609e-15,1.1349000019980657e-15,2.7690132904179103e-15,1.3727235077817286e-15,0.838,,,Gaia EDR3 2860586826320959232,,,13.776108,0.002773,14.08312,0.003094,13.298964,0.003933,0.8811,0.0171,6.623,1090.34424,1071.46948,1109.24902,1081.56689,1064.83386,1099.73547,0,00182643+3004000,12.8,0.025,12.559,0.023,12.425,0.021,0,J001826.42+300400.1,12.168,0.011,12.25,0.009,0,0052p302o0009696,12.287870706945991,-0.0017995810932823,12.301067407287436,-0.0043874467831788,0,J001826.43+300400.0,12.206,0.023,12.275,0.025,12.267,,9.047,,0,LM-STAR,0.0,allwise,12.206,0.023,12.275,0.025
2CXO J012930.7-522857,22.378125,-52.482625,0.83,6.95,2.7127978845608032e-14,4.1250013743055605e-15,3.0735628888181787e-15,1.4907254882672505e-15,9.933662781995677e-16,7.504987923614132e-16,3.1194908012625786e-14,4.449848003778144e-15,0.258,,,Gaia EDR3 4916088153336371840,,,9.182323,0.002773,9.481826,0.002936,8.711549,0.003844,12.2501,0.0119,27.039,81.5338211,81.4537888,81.5988998,81.534584,81.4485779,81.6276169,0,01293076-5228578,8.235,0.026,8.022,0.038,7.907,0.033,0,J012930.78-522857.4,7.876,0.013,7.879,0.008,0,0221m531o0025536,7.951838719415358,-0.0006376624640133,7.859622126825236,-0.0013536546440165,0,J012930.78-522857.5,7.801,0.025,7.864,0.02,7.837,0.018,8.015,0.158,0,LM-STAR,0.0,allwise,7.801,0.025,7.864,0.02
2CXO J013343.4+304630,23.430875,30.775158333333334,0.72,17.69,8.655547052589571e-15,3.5864211770171367e-16,7.3232322355723015e-16,8.136645260289744e-17,3.5358711189897676e-16,1.188302786420467e-16,9.741457388045778e-15,3.864780761193264e-16,0.99,1.0,extent|conf,Gaia EDR3 303384605619347584,,,11.049489,0.002776,11.438964,0.002861,10.486376,0.00382,5.1953,0.0768,47.814,190.561584,187.164627,193.339432,191.083801,188.372559,193.736526,0,01334337+3046307,9.766,0.021,9.425,0.019,9.317,0.015,0,J013343.43+304630.6,9.331,0.011,9.353,0.008,0,0226p302o0021736,9.333778434698452,-0.0004063649313227,9.345432368632032,-0.0008546738190755,0,J013343.42+304630.6,9.316,0.023,9.35,0.02,9.612,0.044,9.105,,0,LM-STAR,0.0,allwise,9.316,0.023,9.35,0.02
2CXO J015751.4+375305,29.46425,37.88483333333333,0.72,56.16,1.673e-13,3.900000000000001e-15,4.289e-14,1.57e-15,4.795e-14,3.189999999999997e-15,2.5814e-13,5.277404665173971e-15,1.0,,extent,Gaia EDR3 342918130308817024,,,11.521194,0.003065,11.993964,0.005638,10.889233,0.005225,7.823,0.0203,26.424,127.272736,126.976486,127.585312,127.160614,126.870735,127.489029,0,01575141+3753055,10.109,0.021,9.699,0.021,9.57,0.019,0,J015751.44+375305.3,9.545,0.012,9.567,0.009,0,0303p378o0015102,9.541605341328308,-0.0004483618280055,9.560693284861433,-0.0009592709170268,0,J015751.41+375304.9,9.404,0.022,9.415,0.02,9.425,0.031,8.828,,0,LM-STAR,0.0,allwise,9.404,0.022,9.415,0.02
2CXO J025702.8-232229,44.26170833333333,-23.37498888888889,0.8,2.91,3.1598128923165045e-15,9.37231783774221e-16,4.706202723653126e-16,2.549793226599969e-16,1.0573449535336224e-15,1.0116049049775098e-15,4.6877781182154406e-15,1.4024130473135637e-15,0.812,,,Gaia EDR3 5078124590671536896,,,9.618879,0.002759,10.061511,0.002817,9.007094,0.003788,1.3664,0.0137,4.868,719.726013,713.101929,726.790649,721.102356,714.127808,729.126648,0,,,,,,,,-4,J025702.77-232230.5,7.72,0.013,7.75,0.009,0,0439m228o0002256,7.810970251751383,-0.0006061164918047,7.73509419578976,-0.0013164023833114,0,J025702.77-232230.5,7.636,0.028,7.717,0.021,7.661,0.018,7.59,0.1,0,LM-STAR,0.0,allwise,7.636,0.028,7.717,0.021
2CXO J041247.4+103625,63.19766666666666,10.606977777777775,0.71,35.79,1.9320687267261578e-13,6.671476186433194e-15,3.228090901047581e-14,2.177909691077077e-15,9.52869941193069e-15,1.9622098010989665e-15,2.3501648109502226e-13,7.287122369780921e-15,0.667,0.852,extent,Gaia EDR3 3300571286238273536,,,9.058041,0.002802,9.352952,0.003159,8.594964,0.003968,8.7615,0.0689,51.329,114.00013,112.890427,114.749481,113.694412,112.941116,114.61422,0,04124744+1036252,8.124,0.034,7.811,0.016,7.774,0.021,0,J041247.46+103624.6,7.775,0.014,7.77,0.009,0,0630p106o0013059,7.866600902900375,-0.0006497432075349,7.751660389166791,-0.0014049940821285,0,J041247.45+103624.9,7.727,0.031,7.764,0.02,7.746,0.021,7.711,0.185,0,LM-STAR,0.0,allwise,7.727,0.031,7.764,0.02
2CXO J052247.8+332206,80.69920833333332,33.36846666666667,0.86,7.59,1.5504633425684169e-15,2.0326783844635367e-16,1.4713444611288636e-16,5.2381779808915e-17,3.7590788451888524e-16,1.6151021075137364e-16,2.073505673200189e-15,2.648531917488549e-16,0.949,0.514,conf,Gaia EDR3 181173265420842880,,,12.281682,0.002775,12.714225,0.002909,11.678173,0.00382,1.0484,0.0183,8.102,933.040588,918.392456,950.356873,937.041626,920.894836,953.409302,0,05224780+3322070,10.921,0.022,10.582,0.021,10.494,0.018,0,J052247.80+332206.8,10.397,0.012,10.424,0.009,0,0809p333o0023996,10.435880767631518,-0.0007145983310227,10.416576903682763,-0.0015364030555752,0,J052247.80+332206.8,10.392,0.023,10.391,0.02,10.363,0.138,7.529,,0,LM-STAR,0.0,allwise,10.392,0.023,10.391,0.02
2CXO J053521.7-045312,83.84058333333331,-4.886708333333333,0.72,37.55,1.577e-13,5.699999999999991e-15,6.423435962466352e-14,2.985548808607653e-15,8.826000000000003e-14,6.769999999999999e-15,3.101943596246636e-13,9.340042916848855e-15,1.0,,,Gaia EDR3 3209571512034873472,,,11.723625,0.003239,12.107361,0.005872,11.152541,0.005435,2.5613,0.0192,2.143,385.917023,383.465332,388.271606,385.058594,382.580475,388.726532,0,05352174-0453118,10.513,0.023,10.097,0.03,10.007,0.019,0,J053521.75-045311.9,9.805,0.013,9.996,0.015,0,0835m046o0003671,9.979620977283378,-0.0006587997459919,10.002806991271932,-0.0015336745604926,0,J053521.74-045311.9,9.81,0.024,9.989,0.03,8.376,,3.199,0.089,0,LM-STAR,0.0,allwise,9.81,0.024,9.989,0.03
2CXO J054228.1-405557,85.61741666666666,-40.93261388888889,0.96,6.2,7.15839250496694e-15,1.3278535881884805e-15,6.719e-16,3.0240000000000004e-16,7.978845608028655e-18,6.028102749890869e-18,7.838271350574969e-15,1.3618653566662845e-15,,,,Gaia EDR3 4804723327843275264,,,10.032905,0.002771,10.402496,0.002888,9.501019,0.003801,8.2153,0.0141,21.25,121.518913,121.328194,121.701912,121.536682,121.377892,121.767685,0,05422820-4055575,8.896,0.026,8.574,0.026,8.512,0.022,0,J054228.23-405557.2,8.455,0.012,8.485,0.009,0,0850m409o0016763,8.448919355271107,-0.0002569022914508,8.477717362710907,-0.0005374471262959,0,J054228.22-405557.3,8.429,0.023,8.481,0.019,8.424,0.022,8.643,0.256,0,LM-STAR,0.0,allwise,8.429,0.023,8.481,0.019
2CXO J055204.8+323318,88.02029166666667,32.555138888888884,0.78,7.05,1.125568642251966e-15,1.9242786650881816e-16,2.008357562334744e-16,6.677492805918335e-17,7.978845608028655e-18,6.028102749890869e-18,1.3343832440934693e-15,2.0377368046243823e-16,,,,Gaia EDR3 3451181667460701440,,,11.056339,0.002764,11.680222,0.002855,10.296707,0.003808,0.6586,0.0181,5.969,1472.59753,1429.75867,1508.35217,1447.82739,1415.68787,1482.23242,0,05520488+3233182,9.304,0.026,8.77,0.034,8.621,0.021,0,J055204.89+323318.1,8.255,0.009,8.468,0.007,0,0882p318o0047107,8.525853224428976,-0.0002759347082258,8.578360217465104,-0.0005856931394018,2,J055204.89+323318.1,8.481,0.023,8.551,0.02,8.493,0.026,8.059,0.236,0,LM-STAR,0.0,allwise,8.481,0.023,8.551,0.02
2CXO J055209.1+323239,88.03795833333334,32.5443,0.72,11.26,2.1984832888394345e-15,2.4749362518307997e-16,2.839738549138241e-16,6.904823470579576e-17,4.662477430917539e-16,1.597844722846066e-16,2.948704886845013e-15,3.025753307946961e-16,0.99,0.509,,Gaia EDR3 3451181422643193984,,,11.145911,0.002772,11.794585,0.002852,10.370798,0.003806,0.6369,0.0217,5.765,1497.24915,1439.42712,1550.50134,1507.17859,1456.01794,1559.31885,0,05520912+3232393,9.29,0.024,8.791,0.044,8.641,0.023,0,J055209.12+323239.2,8.54,0.017,8.601,0.012,0,0882p318o0046782,8.549459271378138,-0.0002791520662183,8.594602764143838,-0.0005905370364867,2,J055209.12+323239.3,8.525,0.023,8.588,0.02,8.524,0.031,8.614,0.444,0,LM-STAR,0.0,allwise,8.525,0.023,8.588,0.02
2CXO J055216.5+323446,88.06887499999999,32.57946944444445,0.72,6.97,9.430794515545865e-16,1.7019396184681847e-16,1.2993917699959363e-16,5.605211473720411e-17,2.374504452949327e-16,1.7939633783675228e-16,1.3104690738491128e-15,2.535564439032602e-16,0.308,,,Gaia EDR3 3451182144197691904,,,10.677338,0.002761,11.327898,0.002837,9.900391,0.003807,0.7036,0.0146,5.826,1359.12024,1332.73694,1387.35034,1350.83447,1320.60852,1372.78052,0,05521653+3234459,8.843,0.018,8.322,0.02,8.173,0.021,0,J055216.54+323445.7,8.056,0.012,8.12,0.008,0,0881p333o0001396,8.092308051138247,-0.0008871483963332,8.11026478604876,-0.000465410798379,2,J055216.54+323445.7,8.025,0.023,8.11,0.019,8.061,0.023,7.637,0.18,0,LM-STAR,0.0,allwise,8.025,0.023,8.11,0.019
2CXO J061523.3+122232,93.84745833333332,12.375655555555555,0.74,18.42,2.779e-13,1.99e-14,8.802797884560805e-14,8.495000667335041e-15,5.023e-14,1.182e-14,4.16157978845608e-13,2.4655373376568902e-14,0.995,,,Gaia EDR3 3332030783514781824,,,11.132376,0.002955,11.537594,0.004613,10.546567,0.004551,5.1983,0.0353,18.208,191.25856,189.959793,192.583572,190.87059,189.651611,192.236481,0,06152338+1222320,9.864,0.021,9.425,0.022,9.302,0.019,0,J061523.38+122231.7,9.133,0.009,9.238,0.008,0,0942p121o0032108,9.234289085064036,-0.0003835094387395,9.25393797331012,-0.0008153567851719,0,J061523.38+122231.8,9.233,0.023,9.261,0.02,9.2,0.039,8.292,,0,LM-STAR,0.0,allwise,9.233,0.023,9.261,0.02
2CXO J064457.7+001840,101.24045833333332,0.3111777777777778,0.74,7.92,3.2342867007072802e-15,5.729456090043876e-16,9.22973031873729e-16,2.236406994578172e-16,3.0293832513283723e-16,2.1524076628625268e-16,4.460198057713846e-15,6.51621378411485e-16,0.413,0.996,,Gaia EDR3 3125524602694426624,,,11.042486,0.002787,11.583229,0.00325,10.347233,0.003987,1.0337,0.0292,5.201,941.171448,921.027161,966.310181,955.575134,929.420227,975.88855,0,06445773+0018404,9.478,0.024,8.982,0.025,8.872,0.026,0,J064457.72+001840.2,8.78,0.014,8.848,0.009,0,1013p000o0033306,8.777588352707674,-0.0003073295166125,8.838879253237486,-0.000660399017761,0,J064457.73+001840.2,8.76,0.023,8.838,0.019,8.725,0.045,8.79,0.48,0,LM-STAR,0.0,allwise,8.76,0.023,8.838,0.019
2CXO J085002.4-454141,132.51020833333334,-45.69490833333333,0.75,28.45,1.7627978845608034e-13,8.650065537455564e-15,5.242e-14,3.2499999999999988e-15,8.547999999999999e-14,8.499999999999995e-15,3.141797884560803e-13,1.25553229270408e-14,1.0,,extent,Gaia EDR3 5329921240299992704,,,9.325249,0.002804,9.686735,0.003321,8.79442,0.003917,14.1108,0.0169,22.067,70.7958298,70.7200928,70.8771515,70.8152847,70.7310104,70.8990479,0,08500248-4541414,8.222,0.027,7.892,0.033,7.768,0.021,0,J085002.44-454141.7,7.805,0.013,7.799,0.008,0,1320m455o0017317,7.827596485761212,-0.0006353771533477,7.743569583071377,-0.0012996255653675,0,J085002.45-454141.7,7.719,0.026,7.798,0.02,7.668,0.019,7.164,0.083,0,LM-STAR,0.0,allwise,7.719,0.026,7.798,0.02
2CXO J085136.0+114633,132.9000833333333,11.77585277777778,0.93,5.38,5.735e-15,1.1950000000000005e-15,9.81139365368241e-16,3.839500132884755e-16,6.299298607538623e-16,4.759187121038841e-16,7.346069226122103e-15,1.3423640464623748e-15,0.272,,,Gaia EDR3 604916559907415040,,,12.513201,0.002788,12.871524,0.003202,11.988874,0.003933,1.1464,0.0155,11.402,853.725464,842.812988,864.711548,851.913757,838.951355,865.025452,0,08513600+1146335,11.38,0.021,11.075,0.022,11.0,0.018,0,J085136.00+114633.5,10.953,0.014,10.982,0.009,0,1328p121o0007325,10.945503652766796,-0.0008850731187207,10.97400882145953,-0.0020094799425033,0,J085136.00+114633.5,10.94,0.022,11.003,0.022,11.061,0.146,8.299,,0,LM-STAR,0.0,allwise,10.94,0.022,11.003,0.022
