name,ra,dec,PU_X,significance,F_s,e_Fcsc_s,F_m,e_Fcsc_m,F_h,e_Fcsc_h,flux_aper90_ave_b,e_flux_aper90_ave_b,P_intra,P_inter,CSC_flags,EDR3Name_gaia,RA_pmcor_gaia,DEC_pmcor_gaia,G,e_Gmag,BP,e_BPmag,RP,e_RPmag,Plx_gaia,e_Plx_gaia,PM_gaia,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,cp_flag_gaia,_2MASS_2mass,J,e_Jmag,H,e_Hmag,K,e_Kmag,cp_flag_2mass,Name_catwise,W1mag_catwise,e_W1mag_catwise,W2mag_catwise,e_W2mag_catwise,cp_flag_catwise,objID_unwise,W1mag_unwise,e_W1mag_unwise,W2mag_unwise,e_W2mag_unwise,cp_flag_unwise,AllWISE_allwise,W1mag_allwise,e_W1mag_allwise,W2mag_allwise,e_W2mag_allwise,W3,e_W3mag,W4mag,e_W4mag,cp_flag_allwise,Class,cp_flag_wise12,which_wise12,W1,e_W1mag,W2,e_W2mag
2CXO J085848.6-450311,134.70283333333333,-45.053244444444445,0.74,13.04,2.3136275007095622e-14,1.9554899963556414e-15,2.668680386689492e-15,5.981368748444634e-16,6.386191538243211e-16,5.055000179434581e-16,2.6443574547609443e-14,2.1064755196860285e-15,0.424,,,,,,,,,,,,,,,,,,,,,-8,08584869-4503117,8.979,0.027,8.592,0.04,8.484,0.021,0,,,,,,-8,,,,,,-4,J085848.61-450311.3,8.473,0.023,8.541,0.02,8.44,0.032,8.363,0.258,0,LM-STAR,0.0,allwise,8.473,0.023,8.541,0.02
2CXO J102741.3+003003,156.92241666666663,0.5010166666666667,0.72,11.11,5.3417978845608036e-14,5.195001091243655e-15,6.654413659358911e-15,1.859810969346637e-15,2.572379824028438e-15,1.9434603265648162e-15,6.264477232899538e-14,5.850125744003821e-15,0.949,,,Gaia EDR3 3855170410190523008,,,10.591574,0.002843,10.928614,0.00355,10.090476,0.004134,6.4517,0.0177,26.632,154.183014,153.794876,154.552109,154.271637,153.856735,154.684753,0,10274137+0030041,9.536,0.024,9.23,0.026,9.132,0.021,0,J102741.37+003003.7,9.106,0.013,9.117,0.008,0,1573p000o0019378,9.102878557659285,-0.0003557259855889,9.111104643951773,-0.0007533629468179,0,J102741.37+003003.8,9.091,0.023,9.108,0.02,9.046,0.038,8.277,,0,LM-STAR,0.0,allwise,9.091,0.023,9.108,0.02
2CXO J110435.9-584520,166.14966666666663,-58.75575833333333,0.92,9.37,5.1646909638854765e-15,6.946509123587851e-16,1.6710000000000001e-15,3.1200000000000004e-16,4.242371350574968e-15,1.3957665054275721e-15,1.1078062314460444e-14,1.5899836564299612e-15,0.997,,,Gaia EDR3 5338656654063486464,,,7.413162,0.002759,7.89957,0.002836,6.762435,0.003808,2.3306,0.0352,11.463,428.878082,422.663544,434.970337,427.256104,421.592987,433.041016,0,11043596-5845209,6.006,0.032,5.548,0.042,5.381,0.018,0,,,,,,-4,1670m591o0037296,5.520058352738252,-0.0003037133845824,5.215021918403021,-0.0006734751436703,0,J110435.99-584520.8,5.362,0.186,5.259,0.044,5.357,0.015,5.362,0.036,0,LM-STAR,0.0,allwise,5.362,0.186,5.259,0.044
2CXO J122114.1+043650,185.30916666666664,4.614044444444444,0.74,12.11,5.063531157230223e-14,1.1261935151629224e-14,4.7162021154391975e-15,2.8585000198321203e-15,7.978845608028655e-18,6.028102749890869e-18,5.5359492533349445e-14,1.161904652116106e-14,,,conf,Gaia EDR3 3894104121225894912,,,10.146322,0.002791,10.474771,0.003088,9.648152,0.003892,7.8399,0.0287,27.214,127.263924,126.793274,127.770859,126.965401,126.471115,127.494904,0,12211424+0436505,9.087,0.023,8.761,0.023,8.667,0.022,0,J122114.21+043650.4,8.663,0.012,8.674,0.008,0,1853p045o0012049,8.669764369087147,-0.0002901655051834,8.674053644756537,-0.0006074438367475,0,J122114.21+043650.3,8.636,0.022,8.658,0.02,8.641,0.027,8.951,0.502,0,LM-STAR,0.0,allwise,8.636,0.022,8.658,0.02
2CXO J124136.7+071856,190.40329166666663,7.315611111111111,0.73,5.65,2.838467694054308e-14,5.511053450594503e-15,2.955202115439197e-15,1.7915000316439372e-15,6.1690105771959856e-15,4.689500302218318e-15,3.750888963317827e-14,7.454702917165479e-15,0.289,,,Gaia EDR3 3710092054224966912,,,10.477314,0.002769,10.774766,0.002886,10.011429,0.003824,3.1493,0.0175,40.266,314.553864,312.805511,316.257019,314.343536,312.828522,316.006287,0,12413679+0718559,9.535,0.024,9.24,0.023,9.167,0.021,0,J124136.77+071856.4,9.148,0.013,9.167,0.009,0,1906p075o0006892,9.149111956692904,-0.000365875432594,9.167374570283917,-0.0007791540083129,0,J124136.77+071856.3,9.118,0.023,9.155,0.021,9.15,0.035,8.425,0.341,0,LM-STAR,0.0,allwise,9.118,0.023,9.155,0.021
2CXO J125345.6-392653,193.4402083333333,-39.44806666666666,0.78,11.75,8.263914233716645e-14,8.901857203661356e-15,1.71e-14,3.4200000000000004e-15,1.4246808461756793e-14,5.342000169794422e-15,1.1398595079892325e-13,1.0930527319780195e-14,1.0,,,Gaia EDR3 6140610989015337216,,,9.089095,0.002798,9.529098,0.003306,8.47483,0.004001,6.4352,0.021,27.49,154.826248,154.4048,155.371704,154.741714,154.288223,155.169846,0,12534566-3926530,7.734,0.029,7.292,0.04,7.186,0.021,0,J125345.64-392653.3,7.445,0.016,7.207,0.008,0,1935m394o0017243,7.32053578405405,-0.000602392384355,7.152509080198673,-0.0011972977920552,0,J125345.64-392653.1,7.094,0.048,7.19,0.02,7.146,0.016,7.109,0.081,0,LM-STAR,0.0,allwise,7.094,0.048,7.19,0.02
2CXO J130955.3+573404,197.4805833333333,57.56779166666667,0.88,3.76,1.543e-14,4.230000000000001e-15,7.978845608028655e-18,6.028102749890869e-18,7.978845608028655e-18,6.028102749890869e-18,1.5445957691216055e-14,4.230008590540395e-15,,,,Gaia EDR3 1566469753622758016,,,9.045395,0.00276,9.360166,0.002823,8.562222,0.003789,12.7432,0.012,55.06,78.353157,78.2806396,78.4181824,78.350502,78.2750473,78.4174423,0,13095537+5734040,8.05,0.019,7.767,0.021,7.718,0.016,0,J130955.29+573403.3,7.723,0.013,7.716,0.008,0,1966p575o0015296,7.849897639100991,-0.0006473144091207,7.686913416561063,-0.0013604245423455,0,J130955.30+573403.5,7.628,0.029,7.7,0.02,7.69,0.018,7.763,0.138,0,LM-STAR,0.0,allwise,7.628,0.029,7.7,0.02
2CXO J131215.7-624250,198.06574999999995,-62.71398055555556,0.72,6.94,2.48e-15,4.4599999999999995e-16,8.638508854122781e-16,2.328519017086228e-16,7.978845608028655e-18,6.028102749890869e-18,3.351829731020307e-15,5.031623457216222e-16,,,,Gaia EDR3 5862501961030047232,,,8.282829,0.002759,8.871663,0.002815,7.537507,0.003787,2.4175,0.018,7.314,411.338562,408.49118,414.19632,410.21933,407.581116,413.229248,0,13121578-6242504,6.573,0.021,6.17,0.057,5.956,0.024,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,LM-STAR,,,,,,
2CXO J172354.0+592047,260.97508333333326,59.34651111111111,0.91,4.0,7.502253852703658e-15,1.9904101776462827e-15,3.1141434408135843e-16,2.352768503282406e-16,1.3093285642775022e-15,9.892116612570917e-16,9.122996761062518e-15,2.2350900613499447e-15,0.905,,,Gaia EDR3 1434094871534406400,,,9.413455,0.002775,9.857333,0.002945,8.792225,0.003806,2.4183,0.0166,21.974,410.698547,407.920868,413.581024,411.277954,408.935516,413.813293,0,17235398+5920478,8.038,0.018,7.629,0.021,7.506,0.026,0,J172353.97+592047.4,7.495,0.013,7.53,0.008,0,2620p590o0026659,7.630385307567208,-0.0005574907294605,7.476425346944914,-0.0012353453950758,0,J172353.98+592047.5,7.684,,7.514,0.02,7.457,0.017,7.389,0.089,0,LM-STAR,0.0,allwise,7.684,,7.514,0.02
2CXO J184134.4-035234,280.39354166666664,-3.876291666666667,0.72,12.89,1.0902552311622196e-13,1.0462809197820861e-14,1.9737978845608022e-14,3.585001581313844e-15,6.65e-15,3.8e-15,1.3541350196183e-13,1.1694554828980347e-14,0.707,,,Gaia EDR3 4258456195656673280,,,9.468484,0.002842,9.78727,0.003587,8.97228,0.00402,7.2467,0.1254,10.451,137.194641,134.838364,139.961716,137.254074,135.098816,139.310608,0,18413443-0352343,8.445,0.023,8.175,0.038,8.063,0.029,0,J184134.45-035234.6,7.743,0.009,7.93,0.008,0,2810m046o0219295,,,7.9902828804752275,-0.0004568895421452,0,J184134.44-035234.6,7.932,0.024,7.984,0.021,8.272,0.049,7.522,,0,LM-STAR,0.0,allwise,7.932,0.024,7.984,0.021
2CXO J192530.1+424840,291.37545833333337,42.811275,0.74,5.17,5.304967119696574e-15,1.223789138700231e-15,1.4235102325813449e-15,6.576950145942308e-16,7.978845608028655e-18,6.028102749890869e-18,6.736456197885947e-15,1.3893375854145465e-15,,,,Gaia EDR3 2125984111169728384,,,13.002396,0.002827,13.318193,0.003337,12.520528,0.004286,1.0101,0.0141,7.629,970.567627,958.168823,984.830688,967.963867,955.851562,981.418152,0,19253010+4248407,11.977,0.021,11.728,0.018,11.653,0.018,0,J192530.10+424840.7,11.572,0.012,11.619,0.009,0,2912p424o0037406,11.585795646472326,-0.0011977607057117,11.602166472011197,-0.0026425662031209,0,J192530.11+424840.9,11.499,0.023,11.556,0.022,11.433,0.121,8.629,,0,LM-STAR,0.0,allwise,11.499,0.023,11.556,0.022
2CXO J195221.4+292453,298.08954166666666,29.41473055555556,0.82,2.91,1.4512393653682409e-15,8.10850006292299e-16,1.1003453670711916e-15,5.62546228389406e-16,7.978845608028655e-18,6.028102749890869e-18,2.559563578047461e-15,9.869003646782838e-16,,,,Gaia EDR3 2028837998279130752,,,10.418145,0.002777,11.19944,0.003579,9.404465,0.003842,0.7807,0.0215,4.57,1221.49829,1191.20593,1258.9613,1227.94165,1199.4436,1256.38184,2,19522146+2924530,7.996,0.019,7.334,0.018,7.164,0.021,0,J195221.47+292453.0,7.101,0.016,7.105,0.009,0,2982p287o0050490,7.108799388203096,-0.0005853854865541,7.0356174311341135,-0.001234831728444,0,J195221.47+292453.0,6.968,0.053,7.091,0.021,6.997,0.017,6.846,0.081,0,LM-STAR,0.0,allwise,6.968,0.053,7.091,0.021
2CXO J203137.2+412335,307.9052499999999,41.39331388888889,0.72,12.35,3.37206432377727e-14,2.0954777448746266e-15,6.666353964502269e-15,6.804316425561415e-16,4.835086676042845e-15,1.1616770767272357e-15,4.5222083878317813e-14,2.4906842092184306e-15,0.799,0.986,extent|conf,Gaia EDR3 2067841352176487040,,,12.95308,0.003854,13.199619,0.006021,12.158849,0.005516,2.9341,0.0778,6.064,338.419739,328.717529,347.432251,342.129822,332.834778,352.733459,0,20313727+4123356,11.351,0.024,10.93,0.018,10.842,0.014,0,J203137.27+412335.6,10.604,0.01,10.846,0.008,0,3085p408o0037701,10.792557667000466,-0.0008105202233333,10.8089832296887,-0.0016989215683913,0,J203137.27+412335.7,10.797,0.023,10.874,0.023,10.712,,8.18,,0,LM-STAR,0.0,allwise,10.797,0.023,10.874,0.023
2CXO J203151.3+412323,307.963875,41.38983888888889,0.72,22.78,3.5650774767153224e-14,1.6971871159134698e-15,1.436408185139446e-14,7.938358121329065e-16,9.475110579673791e-15,1.2009459905658869e-15,5.948996719822149e-14,2.2255090822784057e-15,1.0,1.0,extent,Gaia EDR3 2067829463705720704,,,12.585238,0.00294,12.942177,0.004526,12.058865,0.004716,2.8623,0.01,6.533,347.319153,346.338257,348.458252,347.169708,346.067535,348.150024,0,20315131+4123233,11.439,0.02,11.118,0.018,11.025,0.017,0,J203151.32+412323.4,10.993,0.011,11.048,0.008,0,3085p408o0037593,10.981606437380965,-0.0009075970956585,10.984618661052757,-0.0019067816314445,0,J203151.30+412323.5,10.918,0.023,10.971,0.022,10.806,0.232,7.064,,0,LM-STAR,0.0,allwise,10.918,0.023,10.971,0.022
2CXO J213617.3-542552,324.0722916666666,-54.4313,0.86,12.97,5.081430710004144e-14,3.3070177153991848e-15,4.808656103025761e-15,8.062103405692569e-16,2.2945528192809786e-15,1.2907554158421224e-15,5.791751602234816e-14,3.640383335135273e-15,0.957,0.903,,Gaia EDR3 6461866502576829056,,,9.102469,0.002787,9.405927,0.003081,8.627873,0.003905,12.9236,0.0152,42.04,77.2562027,77.168045,77.344841,77.2375412,77.1364212,77.3186264,0,21361736-5425527,8.138,0.02,7.853,0.04,7.799,0.024,0,J213617.41-542552.8,7.813,0.013,7.78,0.008,0,3242m546o0015962,7.884962398815437,-0.0006222671257374,7.774586035105468,-0.0003884366387266,0,J213617.40-542552.7,7.713,0.029,7.77,0.02,7.75,0.02,7.888,0.204,0,LM-STAR,0.0,allwise,7.713,0.029,7.77,0.02
2CXO J215458.3+165527,328.7432916666666,16.92436111111111,0.95,3.62,3.5348784226795636e-16,1.1542193179773858e-16,1.7072021154391972e-16,1.707500033200652e-16,1.487256821336541e-15,1.123638352579658e-15,2.011464875148417e-15,1.1423838817847754e-15,,,,Gaia EDR3 1772913743325552512,,,11.706731,0.002765,12.047321,0.002836,11.186709,0.003795,3.1365,0.0225,11.924,314.240387,312.118134,316.187103,314.477753,312.435303,316.52182,0,21545836+1655279,10.583,0.023,10.256,0.023,10.193,0.016,0,J215458.38+165527.9,10.165,0.012,10.186,0.009,0,3285p166o0021847,10.163446597651117,-0.0006056373058907,10.17805021464944,-0.0013053076110012,0,J215458.36+165527.7,10.077,0.023,10.096,0.021,10.046,0.053,9.029,,0,LM-STAR,0.0,allwise,10.077,0.023,10.096,0.021
2CXO J221649.5+001510,334.2065833333333,0.2528694444444444,0.79,5.5,1.714e-14,3.51e-15,1.7338776730168837e-15,1.118450061330445e-15,1.220763378028384e-15,9.22299720733303e-16,2.0094641051045268e-14,3.797587038443596e-15,0.151,,,,,,,,,,,,,,,,,,,,,-4,22164956+0015102,8.813,0.056,8.476,0.046,8.422,0.024,0,,,,,,-4,,,,,,-4,J221649.62+001510.3,8.355,0.022,8.383,0.02,8.386,0.024,8.198,,0,LM-STAR,0.0,allwise,8.355,0.022,8.383,0.02
2CXO J225643.5+620729,344.1815833333333,62.12498055555555,0.8,10.81,8.267e-15,1.081e-15,3.235000000000001e-15,5.57e-16,5.521191538243211e-16,5.520000164319167e-16,1.2054119153824322e-14,1.3354826910674793e-15,0.423,,extent,Gaia EDR3 2207006431524893824,,,10.174694,0.002773,11.033817,0.002911,9.258059,0.003818,1.2977,0.0186,5.973,757.347046,748.535706,767.749023,756.044617,745.354736,765.989563,0,22564360+6207295,7.921,0.02,7.342,0.017,7.161,0.018,0,J225643.60+620729.4,7.144,0.015,7.09,0.008,0,3442p620o0023840,6.965797460019731,-0.0006985062819516,6.904597549068351,-0.0013012421113685,0,J225643.59+620729.5,6.916,0.055,7.071,0.02,6.067,0.017,4.862,0.049,0,LM-STAR,0.0,allwise,6.916,0.055,7.071,0.02
2CXO J231338.4+612847,348.410375,61.47977777777778,0.98,2.32,2.512538481968223e-16,1.8982495559406348e-16,7.978845608028655e-18,6.028102749890869e-18,6.069753278345922e-15,3.102009721320751e-15,6.328985972150773e-15,3.1078182319687704e-15,,,,,,,,,,,,,,,,,,,,,,-8,23133851+6128475,16.035,0.088,13.904,0.052,12.931,0.037,0,,,,,,-8,,,,,,-8,,,,,,,,,,-8,LM-STAR,,,,,,
