_rs_2mass,_q,_r_2mass,RAJ2000_2mass,DEJ2000_2mass,errMaj_2mass,errMin_2mass,errPA_2mass,_2MASS_2mass,Jmag_2mass,Jcmsig_2mass,e_Jmag_2mass,Jsnr_2mass,Hmag_2mass,Hcmsig_2mass,e_Hmag_2mass,Hsnr_2mass,Kmag_2mass,Kcmsig_2mass,e_Kmag_2mass,Ksnr_2mass,Qflg_2mass,Rflg_2mass,Bflg_2mass,Cflg_2mass,Ndet_2mass,prox_2mass,pxPA_2mass,pxCntr_2mass,Xflg_2mass,Aflg_2mass,Cntr_2mass,Hemis_2mass,Date_2mass,Scan_2mass,GLON_2mass,GLAT_2mass,Xscan_2mass,_tab1_36_2mass,Jpsfchi_2mass,Hpsfchi_2mass,Kpsfchi_2mass,Jstdap_2mass,e_Jstdap_2mass,Hstdap_2mass,e_Hstdap_2mass,Kstdap_2mass,e_Kstdap_2mass,edgeNS_2mass,edgeEW_2mass,edge_2mass,dup_2mass,use_2mass,opt_2mass,Dopt_2mass,PAopt_2mass,Bmag_2mass,Rmag_2mass,Nopt_2mass,extKey_2mass,scanKey_2mass,coaddKey_2mass,coadd_2mass,Opt_2mass
"[0.32, 8.809]",1.0,0.32,196.590722,-60.724487,0.06,0.06,45.0,13062177-6043281,14.434,0.038,0.04,41.6,13.643,0.047,0.048,43.8,13.447,0.048,0.049,27.7,AAA,222,111,000,666655,9.1,244.0,951692449.0,0.0,0.0,951692434.0,s,2000-02-20,108.0,304.757,2.094,-40.9,2451594.8279,1.21,0.94,1.16,14.373,0.036,13.531,0.049,13.313,0.05,3144.0,211.0,ne,0.0,1.0,U,0.1,78,18.3,16.8,1.0,,51037.0,1173832.0,44.0,Opt
"[0.111, 6.677, 9.376]",2.0,0.111,196.692479,-60.742748,0.06,0.06,90.0,13064619-6044338,13.589,0.032,0.035,97.0,13.15,0.047,0.048,69.0,13.025,0.041,0.042,40.9,AAA,222,111,000,666655,6.8,73.0,951837162.0,0.0,0.0,951837155.0,s,2000-02-20,109.0,304.805,2.073,209.2,2451594.836,1.57,2.16,1.21,13.515,0.012,13.043,0.037,12.965,0.042,3217.0,43.0,nw,1.0,1.0,U,0.7,44,16.3,15.2,1.0,,51038.0,1173871.0,233.0,Opt
"[0.111, 4.778, 6.275, 9.462]",3.0,0.111,196.694247,-60.749973,0.06,0.06,90.0,13064661-6044599,13.957,0.053,0.054,69.1,13.333,0.05,0.051,58.3,13.202,0.055,0.056,34.7,AAA,222,111,000,666666,4.9,198.0,951837037.0,0.0,0.0,951837068.0,s,2000-02-20,109.0,304.806,2.066,206.1,2451594.836,0.93,0.88,1.44,13.889,0.02,13.286,0.052,13.073,0.051,3243.0,46.0,nw,1.0,1.0,U,0.2,358,16.4,15.7,3.0,,51038.0,1173871.0,233.0,Opt
"[4.409, 5.104, 9.799]",4.0,4.409,196.685353,-60.699348,0.06,0.06,90.0,13064448-6041576,13.602,0.026,0.029,89.5,12.49,0.026,0.027,126.7,12.179,0.024,0.026,89.1,AAA,222,111,000,664466,8.0,74.0,951837711.0,0.0,0.0,951692138.0,s,2000-02-20,108.0,304.805,2.117,-207.7,2451594.8279,1.26,0.81,1.16,13.626,0.024,12.513,0.034,12.198,0.043,3053.0,45.0,ne,1.0,1.0,0,,,,,0.0,,51037.0,1173832.0,44.0,Opt
"[1.276, 5.004, 7.876, 9.173]",5.0,1.276,196.604761,-60.665298,0.07,0.07,45.0,13062514-6039550,15.92,0.082,0.083,10.6,14.979,0.075,0.075,12.8,14.554,0.093,0.093,10.0,AAA,222,111,000,050606,5.9,206.0,951691734.0,0.0,0.0,951691723.0,s,2000-02-20,108.0,304.767,2.153,-65.7,2451594.8278,1.27,0.68,0.95,16.512,0.378,15.646,0.148,14.879,0.278,2931.0,187.0,ne,0.0,1.0,0,,,,,0.0,,51037.0,1173831.0,33.0,Opt
"[4.207, 5.891, 8.911]",6.0,4.207,196.478145,-60.752918,0.06,0.06,45.0,13055475-6045105,14.1,0.03,0.032,56.6,13.63,0.033,0.035,44.4,13.416,0.039,0.04,28.5,AAA,222,111,000,666666,7.1,0.0,951692743.0,0.0,0.0,951692776.0,s,2000-02-20,108.0,304.7,2.069,157.1,2451594.8279,1.02,0.77,1.6,14.106,0.044,13.62,0.059,13.541,0.061,3247.0,95.0,nw,0.0,1.0,0,,,,,0.0,,51037.0,1173832.0,44.0,Opt
"[0.038, 8.495, 9.724]",7.0,0.038,196.725073,-60.685612,0.06,0.06,90.0,13065401-6041082,9.887,0.023,0.026,2935.2,9.222,0.024,0.026,2571.1,9.013,0.019,0.021,1645.2,AAA,222,111,000,666666,8.5,26.0,951837876.0,0.0,0.0,951837847.0,s,2000-02-20,109.0,304.825,2.129,152.2,2451594.836,1.17,1.22,1.35,9.872,0.008,9.198,0.036,8.981,0.012,3011.0,100.0,nw,0.0,1.0,U,0.1,117,13.4,11.7,1.0,,51038.0,1173871.0,233.0,Opt
"[0.441, 5.565, 8.655, 9.16, 9.333]",8.0,0.441,196.746755,-60.762867,0.06,0.06,90.0,13065922-6045463,14.38,0.028,0.03,46.8,13.859,0.036,0.037,35.9,13.731,0.038,0.039,21.3,AAA,222,111,000,666645,6.0,321.0,951836892.0,0.0,0.0,951836878.0,s,2000-02-20,109.0,304.831,2.052,113.7,2451594.836,1.04,0.98,1.26,14.429,0.044,13.933,0.075,13.721,0.124,3289.0,139.0,nw,0.0,1.0,U,0.2,155,17.5,16.6,1.0,,51038.0,1173871.0,233.0,Opt
"[1.043, 5.228, 8.797]",9.0,1.043,196.46143,-60.716099,0.08,0.08,90.0,13055074-6042579,13.374,0.032,0.035,110.4,12.696,0.028,0.029,104.8,12.43,,,,AAU,226,120,0c0,666600,4.4,25.0,951692327.0,0.0,0.0,951692342.0,s,2000-02-20,108.0,304.694,2.106,186.7,2451594.8279,3.18,0.62,,13.326,0.017,12.661,0.037,,,3115.0,66.0,nw,1.0,1.0,U,1.2,221,15.9,15.0,1.0,,51037.0,1173832.0,44.0,Opt
[],10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.573],11.0,0.573,196.497107,-60.665421,0.1,0.09,93.0,13055930-6039555,16.076,0.114,0.115,9.2,14.981,0.075,0.075,12.8,14.949,0.137,0.137,7.0,BAC,222,111,00c,262616,11.4,108.0,951691732.0,0.0,0.0,951691726.0,s,2000-02-20,108.0,304.714,2.156,124.2,2451594.8278,1.14,0.84,1.13,15.663,0.141,14.741,0.08,14.383,0.172,2932.0,128.0,nw,0.0,1.0,0,,,,,0.0,,51037.0,1173832.0,44.0,Opt
"[6.246, 6.404]",12.0,6.246,196.764236,-60.779972,0.14,0.14,45.0,13070341-6046478,16.042,0.132,0.132,10.1,14.958,,,,14.423,,,,BUU,200,100,c00,160000,6.9,13.0,951836698.0,0.0,0.0,951836674.0,s,2000-02-20,109.0,304.838,2.034,82.9,2451594.8359,1.83,,,15.73,0.148,,,,,3351.0,170.0,nw,0.0,1.0,U,2.6,54,18.7,17.5,1.0,,51038.0,1173871.0,233.0,Opt
[3.579],13.0,3.579,196.674509,-60.820431,0.07,0.07,45.0,13064188-6049135,15.442,0.065,0.066,16.4,14.872,0.081,0.081,14.1,14.838,0.127,0.127,7.7,AAB,222,111,000,160606,10.4,135.0,951693611.0,0.0,0.0,951693582.0,s,2000-02-20,108.0,304.792,1.996,-187.9,2451594.828,0.73,0.74,0.94,15.61,0.095,14.856,0.134,15.145,0.363,3489.0,64.0,ne,1.0,1.0,U,0.4,257,18.1,17.0,2.0,,51037.0,1173832.0,44.0,Opt
"[1.182, 7.52]",14.0,1.182,196.73988,-60.806805,0.06,0.06,90.0,13065757-6048244,14.209,0.042,0.044,54.8,13.292,0.039,0.04,60.6,12.871,0.041,0.042,47.1,AAA,222,111,000,666666,8.7,270.0,951836317.0,0.0,0.0,951836316.0,s,2000-02-20,109.0,304.825,2.008,125.6,2451594.8359,4.09,3.92,1.89,14.045,0.013,13.122,0.048,12.749,0.05,3447.0,127.0,nw,0.0,1.0,U,1.7,208,17.1,15.9,1.0,,51038.0,1173871.0,233.0,Opt
"[5.38, 8.379, 8.887]",15.0,5.38,196.816868,-60.782551,0.08,0.08,45.0,13071604-6046571,15.466,0.066,0.067,17.2,14.983,0.093,0.093,12.8,14.434,,,,AAU,220,110,cc0,360600,7.8,161.0,951836616.0,0.0,0.0,951836641.0,s,2000-02-20,109.0,304.864,2.03,-9.6,2451594.8359,1.31,0.69,,15.47,0.056,14.975,0.125,,,3360.0,243.0,ne,0.0,1.0,U,0.1,74,17.9,16.8,1.0,,51038.0,1173871.0,233.0,Opt
[1.541],16.0,1.541,196.501097,-60.621441,0.06,0.06,0.0,13060026-6037171,13.021,0.021,0.024,152.8,12.038,0.024,0.025,192.2,11.653,0.023,0.024,144.6,AAA,222,111,000,666666,12.8,296.0,951691192.0,0.0,0.0,951691209.0,s,2000-02-20,108.0,304.719,2.2,117.3,2451594.8278,0.81,0.58,0.94,13.036,0.014,12.061,0.039,11.67,0.026,2774.0,135.0,nw,0.0,1.0,U,0.3,294,19.2,16.8,1.0,,51037.0,1173831.0,33.0,Opt
