name,usrid,ra,dec,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,extent_flag,pileup_flag,sat_src_flag,streak_src_flag,conf_flag,flux_aper90_mean_b,e_flux_aper90_mean_b,flux_aper90_mean_h,e_flux_aper90_mean_h,flux_aper90_mean_m,e_flux_aper90_mean_m,flux_aper90_mean_s,e_flux_aper90_mean_s,kp_intra_prob_b,ks_intra_prob_b,var_inter_prob_b,nh_gal,flux_powlaw_mean,e_flux_powlaw_mean,powlaw_gamma_mean,e_powlaw_gamma_mean,powlaw_nh_mean,e_powlaw_nh_mean,powlaw_ampl_mean,e_powlaw_ampl_mean,powlaw_stat,remove_code,flux_significance_b_max,flux_aper90_ave_s,e_flux_aper90_ave_s,flux_aper90_ave_m,e_flux_aper90_ave_m,flux_aper90_ave_h,e_flux_aper90_ave_h,chisqr,dof,kp_prob_b_max,var_inter_prob,significance_max,flux_flag,flux_aper90_ave_b,e_flux_aper90_ave_b
2CXO J130621.7-604328,1,196.59058333333329,-60.72454444444445,0.79,0.77,120.9,2.63,False,False,False,False,False,1.5486139084708468e-14,6.3219181890935565e-15,6.113774432737892e-15,3.843962062657681e-15,3.997797884560803e-15,1.9475000291091723e-15,5.374566767409772e-15,4.625780894839296e-15,0.695,0.681,,88.44,,,,,,,,,,0,2.63,5.374566767409772e-15,4.625780894839296e-15,3.997797884560803e-15,1.9475000291091723e-15,6.113774432737892e-15,3.843962062657681e-15,,0.0,0.695,,2.63,0,1.5486139084708468e-14,6.3219181890935565e-15
2CXO J130646.2-604433,2,196.69254166666664,-60.74274444444445,0.89,0.84,40.6,1.84,False,False,False,False,False,1.111672541633589e-14,5.732675251117694e-15,5.3438794884274654e-15,4.7164837882085645e-15,2.7368404230878395e-15,1.854100001223022e-15,3.036005504820585e-15,2.6796752407349484e-15,0.043,0.295,,89.15,,,,,,,,,,0,1.84,3.036005504820585e-15,2.6796752407349484e-15,2.7368404230878395e-15,1.854100001223022e-15,5.3438794884274654e-15,4.7164837882085645e-15,,0.0,0.043,,1.84,0,1.111672541633589e-14,5.732675251117694e-15
2CXO J130646.6-604459,3,196.6942083333333,-60.74999722222222,0.94,0.82,151.5,1.68,False,False,False,False,False,1.0473369251339286e-14,6.184193145409923e-15,2.255877673016883e-15,1.8044500380143736e-15,1.6523290417910252e-15,1.184678073498037e-15,6.565162536531378e-15,5.795234488976092e-15,0.419,0.147,,89.36,,,,,,,,,,0,1.68,6.565162536531378e-15,5.795234488976092e-15,1.6523290417910252e-15,1.184678073498037e-15,2.255877673016883e-15,1.8044500380143736e-15,,0.0,0.419,,1.68,0,1.0473369251339286e-14,6.184193145409923e-15
2CXO J130644.8-604154,4,196.68691666666663,-60.698391666666666,1.27,0.99,114.3,1.74,False,False,False,False,False,,,7.742010577195987e-15,4.9465002865162855e-15,1.5304228788172253e-15,1.4497350109842508e-15,,,0.957,0.977,,87.86,,,,,,,,,,0,1.74,7.978845608028655e-18,6.028102749890869e-18,1.5304228788172253e-15,1.4497350109842508e-15,7.742010577195987e-15,4.9465002865162855e-15,,-1.0,,,,1,9.280412301621241e-15,5.1545739906031e-15
2CXO J130624.9-603955,5,196.6040833333333,-60.66542222222222,2.3,1.92,26.9,1.89,False,False,False,False,False,1.4136495695670757e-14,6.482391256575512e-15,1.025319153824321e-14,6.088000148988471e-15,1.1848585727922552e-15,8.951732583587941e-16,2.698445584635291e-15,2.038704350013092e-15,0.545,0.623,,86.77,,,,,,,,,,0,1.89,2.698445584635291e-15,2.038704350013092e-15,1.1848585727922552e-15,8.951732583587941e-16,1.025319153824321e-14,6.088000148988471e-15,,0.0,0.545,,1.89,0,1.4136495695670757e-14,6.482391256575512e-15
2CXO J130554.2-604508,6,196.47616666666664,-60.75226111111111,1.84,1.08,44.1,2.11,False,False,False,False,False,1.9229040448305023e-14,9.624405923915874e-15,1.591239365368241e-14,9.448500053999154e-15,1.6746003684903168e-15,1.347586206318091e-15,1.642046426132297e-15,1.240583545927541e-15,0.374,0.699,,89.04,,,,,,,,,,0,2.11,1.642046426132297e-15,1.240583545927541e-15,1.6746003684903168e-15,1.347586206318091e-15,1.591239365368241e-14,9.448500053999154e-15,,0.0,0.374,,2.11,0,1.9229040448305023e-14,9.624405923915874e-15
2CXO J130654.0-604108,7,196.72508333333332,-60.685602777777774,1.56,0.98,135.0,2.49,False,False,False,False,False,2.6889283732720927e-14,1.455885358825038e-14,1.866251987717902e-14,1.4099732331994743e-14,3.856797884560803e-15,1.9865000285376856e-15,4.369965970981104e-15,3.0350590779806595e-15,0.907,0.897,,87.56,,,,,,,,,,0,2.49,4.369965970981104e-15,3.0350590779806595e-15,3.856797884560803e-15,1.9865000285376856e-15,1.866251987717902e-14,1.4099732331994743e-14,,0.0,0.907,,2.49,0,2.6889283732720927e-14,1.455885358825038e-14
2CXO J130659.1-604546,8,196.74654166666664,-60.76280277777778,1.47,1.1,155.2,2.84,False,False,False,False,False,1.3014797884560803e-14,5.126019251171442e-15,5.062797884560803e-15,3.796500014932204e-15,3.97e-15,2.194e-15,3.9820000000000004e-15,2.6550000000000003e-15,0.068,0.141,,89.83,,,,,,,,,,0,2.84,3.9820000000000004e-15,2.6550000000000003e-15,3.97e-15,2.194e-15,5.062797884560803e-15,3.796500014932204e-15,,0.0,0.068,,2.84,0,1.3014797884560803e-14,5.126019251171442e-15
2CXO J130550.6-604258,9,196.460875,-60.7162,1.44,0.87,64.8,3.59,False,False,False,False,False,3.8240701541081465e-14,1.6397075703927105e-14,2.566680846175679e-14,1.5932000056932077e-14,1.0747125777636358e-14,3.4373911510735184e-15,1.826767301688315e-15,1.7943823173321653e-15,0.825,0.599,,87.98,,,,,,,,,,0,3.59,1.826767301688315e-15,1.7943823173321653e-15,1.0747125777636358e-14,3.4373911510735184e-15,2.566680846175679e-14,1.5932000056932077e-14,,0.0,0.825,,3.59,0,3.8240701541081465e-14,1.6397075703927105e-14
2CXO J130544.8-604357,10,196.4367083333333,-60.73273888888889,1.7,1.18,51.8,3.22,False,False,False,False,False,3.0224264862344824e-14,8.920893580117824e-15,2.7142021154391973e-14,8.725000649743403e-15,1.0627978845608029e-15,1.0625000533554e-15,2.0194458233920523e-15,1.525712805997379e-15,0.66,0.766,,88.41,,,,,,,,,,0,3.22,2.0194458233920523e-15,1.525712805997379e-15,1.0627978845608029e-15,1.0625000533554e-15,2.7142021154391973e-14,8.725000649743403e-15,,0.0,0.66,,3.22,0,3.0224264862344824e-14,8.920893580117824e-15
2CXO J130559.3-603955,11,196.49741666666665,-60.66546944444444,2.32,1.9,55.9,1.83,False,False,False,False,False,1.1217704942159532e-14,5.120009647323301e-15,2.6457852036223014e-15,1.998918871863812e-15,1.0141112767804419e-15,7.661718595111295e-16,7.557808461756788e-15,4.6510001950208125e-15,0.33,0.415,,86.58,,,,,,,,,,0,1.83,7.557808461756788e-15,4.6510001950208125e-15,1.0141112767804419e-15,7.661718595111295e-16,2.6457852036223014e-15,1.998918871863812e-15,,0.0,0.33,,1.83,0,1.1217704942159532e-14,5.120009647323301e-15
2CXO J130703.6-604653,12,196.7653333333333,-60.78162222222222,0.93,0.83,162.3,4.87,False,False,False,False,False,4.2665797168290514e-14,9.709738418213711e-15,3.473116349155842e-14,9.216860773542086e-15,5.458e-15,2.414e-15,2.4766336767320943e-15,1.871123093566126e-15,0.89,0.749,,90.4,,,,,,,,,,0,4.87,2.4766336767320943e-15,1.871123093566126e-15,5.458e-15,2.414e-15,3.473116349155842e-14,9.216860773542086e-15,,0.0,0.89,,4.87,0,4.2665797168290514e-14,9.709738418213711e-15
2CXO J130642.1-604910,13,196.6758333333333,-60.819675000000004,1.52,0.9,7.3,3.76,False,False,False,False,False,3.064302388426809e-14,8.716821974157151e-15,2.546e-14,8.330000000000001e-15,2.929e-15,1.922e-15,2.254023884268095e-15,1.7029390268441704e-15,0.596,0.418,,91.35,,,,,,,,,,0,3.76,2.254023884268095e-15,1.7029390268441704e-15,2.929e-15,1.922e-15,2.546e-14,8.330000000000001e-15,,0.0,0.596,,3.76,0,3.064302388426809e-14,8.716821974157151e-15
2CXO J130657.4-604824,14,196.7392083333333,-60.80678333333333,1.06,0.78,178.0,4.76,False,False,False,False,False,,,3.334520580034237e-14,1.0026837100300265e-14,1.133441251064344e-14,3.798067605132342e-15,,,0.397,0.269,,91.08,,,,,,,,,,0,4.76,7.978845608028655e-18,6.028102749890869e-18,1.133441251064344e-14,3.798067605132342e-15,3.334520580034237e-14,1.0026837100300265e-14,,-1.0,,,,1,4.468759715659384e-14,1.0722071446653221e-14
2CXO J130715.3-604656,15,196.81383333333332,-60.782352777777774,2.26,1.48,166.6,2.38,False,False,False,False,False,1.8901826602447538e-14,7.725988774830853e-15,1.337802713672608e-14,7.236697722896865e-15,3.2418496218252617e-15,2.085378552275235e-15,2.281949843896195e-15,1.7240373864687886e-15,0.141,0.023,,90.51,,,,,,,,,,0,2.38,2.281949843896195e-15,1.7240373864687886e-15,3.2418496218252617e-15,2.085378552275235e-15,1.337802713672608e-14,7.236697722896865e-15,,0.0,0.141,,2.38,0,1.8901826602447538e-14,7.725988774830853e-15
2CXO J130600.2-603715,16,196.50104166666662,-60.62101388888889,2.6,1.4,88.8,2.37,False,False,False,False,False,1.4396266249817056e-14,6.475321041055669e-15,7.596797884560804e-15,5.773500009819021e-15,5.275508854122781e-15,2.6964481847297215e-15,1.523959511133473e-15,1.151367625229156e-15,0.592,0.761,,85.31,,,,,,,,,,0,2.37,1.523959511133473e-15,1.151367625229156e-15,5.275508854122781e-15,2.6964481847297215e-15,7.596797884560804e-15,5.773500009819021e-15,,0.0,0.592,,2.37,0,1.4396266249817056e-14,6.475321041055669e-15
